Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
59459589,09/29/2023 09:17:20 AM,09/30/2023 08:40:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11238,11 IRVING PLACE,IRVING PLACE,GATES AVENUE,PUTNAM AVENUE,GATES AVENUE,PUTNAM AVENUE,ADDRESS,BROOKLYN,IRVING PLACE,,Closed,,,09/30/2023 08:40:00 PM,02 BROOKLYN,3019847501,BROOKLYN,995316,188680,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68455286604126,-73.96010024555918,"(40.68455286604126, -73.96010024555918)",13829,68,2,48,55,55
59438619,09/29/2023 09:17:14 AM,09/29/2023 09:40:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11225,201 CROWN STREET,CROWN STREET,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,CROWN STREET,,Closed,,,09/29/2023 09:40:00 PM,09 BROOKLYN,3012880045,BROOKLYN,997022,182092,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66646799559261,-73.9539615487986,"(40.66646799559261, -73.9539615487986)",13509,17,2,48,44,44
59445715,09/29/2023 09:17:08 AM,09/30/2023 06:10:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,11215,287 1 STREET,1 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,1 STREET,,Closed,,,09/30/2023 06:10:00 PM,06 BROOKLYN,,BROOKLYN,988886,185015,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67449897523158,-73.98328688128719,"(40.67449897523158, -73.98328688128719)",17617,14,2,27,50,50
59456082,09/29/2023 09:17:07 AM,10/01/2023 01:35:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,11223,496 VAN SICKLEN STREET,VAN SICKLEN STREET,WOLF PLACE,AVENUE W,WOLF PLACE,AVENUE W,ADDRESS,BROOKLYN,VAN SICKLEN STREET,,Closed,,,10/01/2023 01:35:00 PM,15 BROOKLYN,,BROOKLYN,991007,155083,PHONE,Unspecified,BROOKLYN,,,,,,,,40.592340628359295,-73.97567049207018,"(40.592340628359295, -73.97567049207018)",18183,32,2,45,36,36
58960705,09/29/2023 09:17:00 AM,09/29/2023 07:00:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11377,50-32 31 AVENUE,31 AVENUE,HOBART ST,51 ST,,,ADDRESS,WOODSIDE,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",09/29/2023 07:00:00 PM,01 QUEENS,4007380050,QUEENS,1009744,215106,PHONE,Unspecified,QUEENS,,,,,,,,40.75705602066433,-73.90797834060528,"(40.75705602066433, -73.90797834060528)",14787,39,3,33,72,72
58956004,09/29/2023 09:17:00 AM,09/30/2023 10:05:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11377,37-19 60 STREET,60 STREET,37 AVE,38 AVE,,,ADDRESS,WOODSIDE,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 10:05:00 AM,02 QUEENS,4012150041,QUEENS,1011189,212246,PHONE,Unspecified,QUEENS,,,,,,,,40.74920176611623,-73.90277401486013,"(40.74920176611623, -73.90277401486013)",14787,53,3,33,66,66
58962019,09/29/2023 09:17:00 AM,09/29/2023 07:20:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11237,318 KNICKERBOCKER AVENUE,KNICKERBOCKER AVENUE,HART ST,DE KALB AVE,,,ADDRESS,BROOKLYN,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/29/2023 07:20:00 PM,04 BROOKLYN,3032357503,BROOKLYN,1005619,194827,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70140607573066,-73.92293209160103,"(40.70140607573066, -73.92293209160103)",13828,42,2,37,53,53
58962129,09/29/2023 09:17:00 AM,09/29/2023 05:00:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11223,1964 WEST   11 STREET,WEST   11 STREET,AVENUE S,AVENUE T,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 05:00:00 PM,11 BROOKLYN,3070770030,BROOKLYN,989019,157575,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59918195870676,-73.98282680020834,"(40.59918195870676, -73.98282680020834)",18183,1,2,45,37,37
58960484,09/29/2023 09:17:00 AM,10/02/2023 01:05:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11416,94-39 97 STREET,97 STREET,ATLANTIC AVE,95 AVE,,,ADDRESS,OZONE PARK,,,Closed,,"The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",10/02/2023 01:05:00 PM,09 QUEENS,4090430065,QUEENS,1027086,190025,PHONE,Unspecified,QUEENS,,,,,,,,40.68814784160747,-73.8455414011467,"(40.68814784160747, -73.8455414011467)",24012,46,3,41,60,60
58960706,09/29/2023 09:17:00 AM,09/30/2023 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10310,,,,,CARY AVENUE,NORTH BURGHER AVENUE,INTERSECTION,STATEN ISLAND,,,Closed,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,09/30/2023 11:00:00 AM,01 STATEN ISLAND,,STATEN ISLAND,952566,169913,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.63299183188691,-74.11415212327942,"(40.63299183188691, -74.11415212327942)",10697,4,1,13,74,74
58963736,09/29/2023 09:17:00 AM,09/29/2023 05:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11206,279 LEE AVENUE,LEE AVENUE,WALLABOUT ST,FLUSHING AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,09/29/2023 05:30:00 PM,01 BROOKLYN,3022640001,BROOKLYN,997128,194206,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69971800689027,-73.95355630526956,"(40.69971800689027, -73.95355630526956)",17213,36,2,38,56,56
58956005,09/29/2023 09:17:00 AM,09/29/2023 12:15:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11203,510 EAST   56 STREET,EAST   56 STREET,CLARENDON RD,AVENUE D,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 12:15:00 PM,17 BROOKLYN,3047760017,BROOKLYN,1005411,173933,PHONE,Unspecified,BROOKLYN,,,,,,,,40.644057257889195,-73.92374784443874,"(40.644057257889195, -73.92374784443874)",16866,61,2,26,40,40
58956003,09/29/2023 09:17:00 AM,09/29/2023 02:30:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11223,166 KINGS HIGHWAY,KINGS HIGHWAY,W 13 ST,W 12 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 02:30:00 PM,11 BROOKLYN,3066190042,BROOKLYN,988304,159979,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6057808058,-73.98540007693168,"(40.6057808058, -73.98540007693168)",18183,1,2,18,37,37
58959184,09/29/2023 09:17:00 AM,09/30/2023 11:15:00 AM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11210,4013 AVENUE K,AVENUE K,E 40 ST,ALBANY AVE,,,ADDRESS,BROOKLYN,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/30/2023 11:15:00 AM,18 BROOKLYN,3077880004,BROOKLYN,1001721,167255,PHONE,Unspecified,BROOKLYN,,,,,,,,40.625735619669406,-73.93706178108353,"(40.625735619669406, -73.93706178108353)",17217,5,2,26,38,38
58957476,09/29/2023 09:17:00 AM,09/29/2023 08:40:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11366,188-06 UNION TURNPIKE,UNION TURNPIKE,188 ST,189 ST,,,ADDRESS,FRESH MEADOWS,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/29/2023 08:40:00 PM,08 QUEENS,4072660001,QUEENS,1044953,205039,ONLINE,Unspecified,QUEENS,,,,,,,,40.72925308081711,-73.78098121216865,"(40.72925308081711, -73.78098121216865)",24332,25,3,16,65,65
58965378,09/29/2023 09:17:00 AM,09/29/2023 06:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11216,1240 BEDFORD AVENUE,BEDFORD AVENUE,HANCOCK ST,HALSEY ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,09/29/2023 06:30:00 PM,03 BROOKLYN,3020007501,BROOKLYN,997126,187617,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68163272568132,-73.95357611171455,"(40.68163272568132, -73.95357611171455)",17618,69,2,49,51,51
58957606,09/29/2023 09:17:00 AM,09/29/2023 10:10:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11223,463 AVENUE U,AVENUE U,E 4 ST,E 5 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 10:10:00 AM,15 BROOKLYN,3071070030,BROOKLYN,993306,157011,PHONE,Unspecified,BROOKLYN,,,,,,,,40.597630549113035,-73.96739004268893,"(40.597630549113035, -73.96739004268893)",18183,32,2,45,36,36
58960707,09/29/2023 09:17:00 AM,09/29/2023 07:40:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11221,530 CENTRAL AVENUE,CENTRAL AVENUE,JEFFERSON AVE,HANCOCK ST,,,ADDRESS,BROOKLYN,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/29/2023 07:40:00 PM,04 BROOKLYN,3033890149,BROOKLYN,1008482,191017,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6909411392893,-73.91262031357755,"(40.6909411392893, -73.91262031357755)",18181,42,2,37,53,53
58963514,09/29/2023 09:17:00 AM,09/30/2023 11:50:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11210,4007 AVENUE K,AVENUE K,E 40 ST,ALBANY AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,09/30/2023 11:50:00 AM,18 BROOKLYN,3077880006,BROOKLYN,1001710,167254,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62573289656643,-73.9371014104901,"(40.62573289656643, -73.9371014104901)",17217,5,2,26,38,38
58966926,09/29/2023 09:17:00 AM,09/29/2023 06:10:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11216,820 MARCY AVENUE,MARCY AVENUE,MONROE ST,MADISON ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,09/29/2023 06:10:00 PM,03 BROOKLYN,3018180045,BROOKLYN,998877,189042,PHONE,Unspecified,BROOKLYN,,,,,,,,40.685541304791734,-73.94725986135441,"(40.685541304791734, -73.94725986135441)",17618,69,2,49,51,51
58960704,09/29/2023 09:17:00 AM,09/30/2023 01:20:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11224,3485 NEPTUNE AVENUE,NEPTUNE AVENUE,W 33 ST,W 35 ST,,,ADDRESS,BROOKLYN,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/30/2023 01:20:00 PM,13 BROOKLYN,3069790100,BROOKLYN,983713,149507,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.57703817516171,-74.00193309935061,"(40.57703817516171, -74.00193309935061)",18184,21,2,45,35,35
58959100,09/29/2023 09:17:00 AM,09/29/2023 03:45:00 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11102,25-30 30 ROAD,30 ROAD,CRESCENT ST,29 ST,,,ADDRESS,ASTORIA,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 03:45:00 PM,01 QUEENS,4005770036,QUEENS,1005101,218935,PHONE,Unspecified,QUEENS,,,,,,,,40.76757780525987,-73.92472555748579,"(40.76757780525987, -73.92472555748579)",16859,39,3,4,72,72
58963658,09/29/2023 09:17:00 AM,09/30/2023 12:05:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11230,408 AVENUE O,AVENUE O,E 4 ST,E 5 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/30/2023 12:05:00 AM,12 BROOKLYN,3066110003,BROOKLYN,992508,162141,PHONE,Unspecified,BROOKLYN,,,,,,,,40.61171213179376,-73.970257306673,"(40.61171213179376, -73.970257306673)",13513,2,2,18,39,39
58957477,09/29/2023 09:17:00 AM,10/01/2023 11:00:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11214,8301 21 AVENUE,21 AVENUE,83 ST,84 ST,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,10/01/2023 11:00:00 AM,11 BROOKLYN,3063300007,BROOKLYN,985820,159661,PHONE,Unspecified,BROOKLYN,,,,,,,,40.604908748927826,-73.99434593494713,"(40.604908748927826, -73.99434593494713)",17616,1,2,45,37,37
58959099,09/29/2023 09:17:00 AM,09/29/2023 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11226,3217 CHURCH AVENUE,CHURCH AVENUE,E 32 ST,NEW YORK AVE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 09:30:00 AM,17 BROOKLYN,3048690080,BROOKLYN,998847,176429,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65092148759363,-73.94739534247154,"(40.65092148759363, -73.94739534247154)",13510,61,2,11,40,40
58966699,09/29/2023 09:17:00 AM,09/29/2023 09:40:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11361,42-02 217 STREET,217 STREET,DEAD END,43 AVE,,,ADDRESS,BAYSIDE,,,Closed,,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,09/29/2023 09:40:00 PM,11 QUEENS,4063070033,QUEENS,1049215,217453,PHONE,Unspecified,QUEENS,,,,,,,,40.763295998624784,-73.76548390880687,"(40.763295998624784, -73.76548390880687)",14196,26,3,20,69,69
58966890,09/29/2023 09:17:00 AM,09/29/2023 06:30:00 PM,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10473,770 HAVEMEYER AVENUE,HAVEMEYER AVENUE,VIRGIL PL,LAFAYETTE AVE,,,ADDRESS,BRONX,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,09/29/2023 06:30:00 PM,09 BRONX,,BRONX,1026923,239191,ONLINE,Unspecified,BRONX,,,,,,,,40.8230965441623,-73.84581710515383,"(40.8230965441623, -73.84581710515383)",11611,58,5,31,26,26
58962018,09/29/2023 09:17:00 AM,09/29/2023 10:30:00 AM,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10467,2996 HOLLAND AVENUE,HOLLAND AVENUE,WILLIAMSBRIDGE RD,ADEE AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",09/29/2023 10:30:00 AM,11 BRONX,2045480131,BRONX,1021516,256108,PHONE,Unspecified,BRONX,,,,,,,,40.86955314385188,-73.86525922168619,"(40.86955314385188, -73.86525922168619)",11605,59,5,22,32,32
59438758,09/29/2023 09:16:57 AM,09/29/2023 07:50:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11361,200-38 39 AVENUE,39 AVENUE,FRANCIS LEWIS BOULEVARD,203 STREET,FRANCIS LEWIS BOULEVARD,203 STREET,ADDRESS,BAYSIDE,39 AVENUE,,Closed,,,09/29/2023 07:50:00 PM,11 QUEENS,4062020078,QUEENS,1043894,217079,ONLINE,Unspecified,QUEENS,,,,,,,,40.76230696674878,-73.78469533727184,"(40.76230696674878, -73.78469533727184)",14196,26,3,20,69,69
59442250,09/29/2023 09:16:52 AM,09/29/2023 12:15:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11357,2-58 149 PLACE,149 PLACE,POWELLS COVE BOULEVARD,3 AVENUE,POWELLS COVE BOULEVARD,3 AVENUE,ADDRESS,WHITESTONE,149 PLACE,,Closed,,,09/29/2023 12:15:00 PM,07 QUEENS,4044920064,QUEENS,1034195,230154,PHONE,Unspecified,QUEENS,,,,,,,,40.79825441699846,-73.81960976730947,"(40.79825441699846, -73.81960976730947)",14192,22,3,20,67,67
59435360,09/29/2023 09:16:52 AM,09/30/2023 06:00:00 AM,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11218,1573 39 STREET,39 STREET,15 AVENUE,16 AVENUE,15 AVENUE,16 AVENUE,ADDRESS,BROOKLYN,39 STREET,,Closed,,,09/30/2023 06:00:00 AM,12 BROOKLYN,3053660044,BROOKLYN,989686,171386,PHONE,Unspecified,BROOKLYN,,,,,,,,40.637089900384204,-73.98041380887844,"(40.637089900384204, -73.98041380887844)",17620,2,2,27,39,39
59445718,09/29/2023 09:16:47 AM,09/30/2023 11:50:00 AM,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,11210,4007 AVENUE K,AVENUE K,EAST   40 STREET,ALBANY AVENUE,EAST   40 STREET,ALBANY AVENUE,ADDRESS,BROOKLYN,AVENUE K,,Closed,,,09/30/2023 11:50:00 AM,18 BROOKLYN,3077880006,BROOKLYN,1001710,167254,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62573289656643,-73.9371014104901,"(40.62573289656643, -73.9371014104901)",17217,5,2,26,38,38
59438839,09/29/2023 09:16:38 AM,09/29/2023 06:30:00 PM,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11216,1240 BEDFORD AVENUE,BEDFORD AVENUE,HANCOCK STREET,HALSEY STREET,HANCOCK STREET,HALSEY STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,,Closed,,,09/29/2023 06:30:00 PM,03 BROOKLYN,3020007501,BROOKLYN,997126,187617,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68163272568132,-73.95357611171455,"(40.68163272568132, -73.95357611171455)",17618,69,2,49,51,51
59456185,09/29/2023 09:16:30 AM,09/30/2023 11:15:00 AM,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11210,4013 AVENUE K,AVENUE K,EAST   40 STREET,ALBANY AVENUE,EAST   40 STREET,ALBANY AVENUE,ADDRESS,BROOKLYN,AVENUE K,,Closed,,,09/30/2023 11:15:00 AM,18 BROOKLYN,,BROOKLYN,1001721,167255,PHONE,Unspecified,BROOKLYN,,,,,,,,40.625735619669406,-73.93706178108353,"(40.625735619669406, -73.93706178108353)",17217,5,2,26,38,38
